KIZ_code	Worksheet_filename	Country	reservecode	reservecode2	Protected_Area_Std_Name	Date_collected	Forest_Compartment	Original_ID_Code	Approx_number_leeches	WWF_SWG_ID	Chiroptera.Vespertilionidae.Tylonycteris.UNK	Erinaceomorpha.Erinaceidae.Hylomys.suillus	Lagomorpha.Leporidae.Nesolagus.timminsi	Rodentia.Hystricidae.Hystrix.UNK	Rodentia.Muridae.Mus.musculus	Rodentia.Muridae.Niviventer.UNK	Rodentia.Sciuridae.Callosciurus.erythraeus	Rodentia.Sciuridae.Callosciurus.UNK1	Rodentia.Sciuridae.Callosciurus.UNK2	Rodentia.Sciuridae.Hylopetes.UNK1	Rodentia.Sciuridae.Hylopetes.UNK2	Rodentia.Sciuridae.Petaurista.philippensis	Rodentia.Sciuridae.Ratufa.bicolor	Rodentia.Sciuridae.Tamiops.UNK	Rodentia.Spalacidae.Rhizomys.pruinosus	Scandentia.Tupaiidae.Tupaia.belangeri	Soricomorpha.Talpidae.Euroscaptor.UNK	reservecode3
SWG1	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	Phou Si Thone	29 09	NA	NA	59	NA	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	PST
SWG10	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	Phou Si Thone	29-30  09	NA	NA	13	NA	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	36	 0	 0	 0	PST
SWG11	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	Phou Si Thone	1 10	NA	NA	126	NA	   0	   0	   0	   0	   0	2349	   0	   0	   0	   0	   0	   0	   0	 883	   0	   0	   0	PST
SWG12	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	Phou Si Thone	1 10	NA	NA	96	NA	   0	   0	   0	   0	   0	  11	   0	   0	   0	   0	   0	   0	   0	 159	1623	 197	   0	PST
SWG13	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	Phou Si Thone	1 10	NA	NA	80	NA	  0	  0	  0	  0	  0	775	  0	  0	  0	  0	  0	  0	  0	 38	  0	  0	  0	PST
SWG14	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	Phou Si Thone	1 10	NA	NA	66	NA	   0	   0	  29	   0	   0	1602	   0	   0	   0	   0	   0	   0	   0	 107	   0	   0	   0	PST
SWG15	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	Phou Si Thone	30 9	NA	NA	30	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	PST
SWG16	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	Phou Si Thone	30  9	NA	NA	27	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	PST
SWG17	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	Phou Si Thone	1-3 10	NA	NA	90	NA	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	21	 0	 0	 0	PST
SWG18	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	Phou Si Thone	2 10	NA	NA	78	NA	    0	    0	    0	    0	    0	36473	   52	   29	    0	    0	    0	    0	    0	   23	    0	    0	    0	PST
SWG19	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	Phou Si Thone	3 10	NA	NA	9	NA	     0	     0	     0	     0	     0	163450	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	PST
SWG2	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	Phou Si Thone	29 09	NA	NA	46	NA	  0	  0	  7	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	169	  0	  0	  0	PST
SWG20	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	Phou Si Thone	3 10	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	PST
SWG21	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	Phou Si Thone	2 10	NA	NA	158	NA	  0	  0	  0	  0	  0	156	  0	  0	  0	  0	  0	  0	  0	 18	  0	 27	  0	PST
SWG22	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	Phou Si Thone	2 10	NA	NA	152	NA	   0	   0	   0	   0	   0	  59	  27	   0	   0	   0	   0	   0	   0	  47	3776	   0	   0	PST
SWG23	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	Phou Si Thone	6 10	NA	NA	28	NA	    0	    0	    0	    0	    0	72462	    0	    0	    0	    0	    0	    0	    0	    4	    0	39228	    0	PST
SWG24	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	Phou Si Thone	4-6 10	NA	NA	83	NA	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	324	  0	  0	  0	PST
